項次,合格,日期,縣市,鄉鎮,地點,淨水場,供水系統,大腸桿菌群,總菌落數,濁度,鉛,鉻,鎘,鎳,亞硝酸鹽氮,硝酸鹽氮',銅,鋅,硫酸鹽,氯鹽,氨氮,總硬度,自由有效餘氯,氫離子濃度指數
水質標準,,,,,,,,6,100,2,0.01,0.05,0.005,0.1,0.1,10,1,5,250,250,0.1,300,0.2~1,6~8.5
1,是,106.03.01,桃園市,大溪區,東安橋,大溪淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,102,0.61,7.6
2,是,106.03.01,桃園市,大溪區,美山路一段425號,大溪淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,101,0.7,7.4
3,是,106.03.01,桃園市,大溪區,員林路一段44號,大溪淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,103,0.49,7.5
4,是,106.03.01,桃園市,大溪區,僑愛介壽路223號,大溪淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,102,0.71,7.7
5,是,106.03.01,桃園市,復興區,中正路280號,復興淨水場,復興,<1,<5,1.2,,,,,,,,,,,,63.8,0.6,7.6
6,是,106.03.01,桃園市,龍潭區,中正路2巷215號,龍潭淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,102,0.63,7.8
7,是,106.03.01,桃園市,龍潭區,中正路上華段30號,龍潭淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,102,0.68,7.7
8,是,106.03.01,桃園市,龍潭區,武漢國小,龍潭淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,102,0.68,7.7
9,是,106.03.01,桃園市,龍潭區,建國路72號,龍潭淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,102,0.71,7.7
10,是,106.03.06,桃園市,大園區,中山南路118號,平鎮淨水場,石門區,<1,<5,0.8,,,,,,,,,,,,108,0.54,7.6
11,是,106.03.06,桃園市,中壢區,中山東路3段223號,平鎮淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,109,0.62,7.6
12,是,106.03.06,桃園市,中壢區,中正路3段89號,平鎮淨水場,石門區,,,0.8,,,,,,,,,,,,107,0.52,7.7
13,是,106.03.06,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,108,0.68,7.6
14,是,106.03.06,桃園市,新屋區,中華路243-4號,平鎮淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,109,0.65,7.6
15,是,106.03.06,桃園市,新屋區,中興路477號,平鎮淨水場,石門區,<1,<5,0.7,,,,,,,,,,,,108,0.59,7.6
16,是,106.03.06,桃園市,楊梅區,中山路13號,平鎮淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,106,0.53,7.6
17,是,106.03.06,桃園市,觀音區,大觀路一段536號,平鎮淨水場,石門區,<1,<5,0.7,,,,,,,,,,,,111,0.64,7.5
18,是,106.03.07,桃園市,大溪區,復興路327號,大溪淨水場,石門區,<1,<5,1.2,,,,,ND,2.87,,,25.4,7.88,ND,33.8,0.74,6.8
19,是,106.03.07,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.2,,,,,ND,0.46,,,42.4,5.65,ND,103,0.78,7.7
20,是,106.03.07,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.4,,,,,ND,0.34,,,42.7,6.04,ND,108,0.63,7.5
21,是,106.03.07,桃園市,平鎮區,南豐路267號,平鎮淨水場,石門區,<1,<5,0.5,,,,,ND,0.34,,,42.8,5.38,ND,108,0.61,7.5
22,是,106.03.07,桃園市,桃園區,國際路一段485巷101號,大湳淨水場,石門區,<1,<5,0.3,,,,,ND,0.39,,,43.3,5.83,ND,109,0.63,7.5
23,是,106.03.07,桃園市,桃園區,國際路一段485巷101號,大湳淨水場,石門區,<1,<5,0.4,,,,,ND,0.39,,,43.1,5.99,ND,110,0.6,7.5
24,是,106.03.07,桃園市,桃園區,國際路一段485巷101號,大湳淨水場,石門區,<1,<5,0.5,,,,,ND,0.4,,,42.5,6.58,ND,106,0.69,7.3
25,是,106.03.07,桃園市,復興區,中正路280號,復興淨水場,復興,<1,<5,0.5,,,,,ND,0.8,,,6.94,3.62,ND,40.4,0.71,7.8
26,是,106.03.07,桃園市,龍潭區,文化路209號,龍潭淨水場,石門區,<1,<5,0.7,,,,,ND,0.35,,,42.3,2.54,ND,108,0.75,7.5
27,是,106.03.08,桃園市,大園區,華興路25號,石門淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,103,0.55,7.7
28,是,106.03.08,桃園市,中壢區,元化路7號,石門淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,103,0.6,7.6
29,是,106.03.08,桃園市,中壢區,環西路2段49號,石門淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,102,0.57,7.6
30,是,106.03.08,桃園市,平鎮區,大昌路20號,石門淨水場,石門區,<1,<5,0.3,,,,,,,,,,,,105,0.62,7.6
31,是,106.03.08,桃園市,平鎮區,水廠路150號,石門淨水場,石門區,<1,<5,0.2,,,,,,,,,,,,102,0.71,7.7
32,是,106.03.08,桃園市,平鎮區,延平路一段31號,石門淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,105,0.65,7.7
33,是,106.03.08,桃園市,楊梅區,大模街51號,石門淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,102,0.65,7.6
34,是,106.03.08,桃園市,楊梅區,永美路129號,石門淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,106,0.61,7.6
35,是,106.03.08,桃園市,楊梅區,楊新路三段297號,石門淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,106,0.62,7.6
36,是,106.03.08,桃園市,觀音區,中山路2段532號,石門淨水場,石門區,<1,<5,0.7,,,,,,,,,,,,103,0.52,7.6
37,是,106.03.13,桃園市,八德區,福國北街30號,大湳淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,108,0.56,7.4
38,是,106.03.13,桃園市,桃園區,永安路1243號,大湳淨水場,石門區,<1,<5,0.7,,,,,,,,,,,,110,0.6,7.6
39,是,106.03.13,桃園市,桃園區,國際路一段1168號,大湳淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,110,0.73,7.4
40,是,106.03.13,桃園市,龜山區,萬壽路一段1249號,大湳淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,108,0.61,7.5
41,是,106.03.13,桃園市,龜山區,萬壽路二段935號,大湳淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,111,0.64,7.3
42,是,106.03.13,桃園市,蘆竹區,南崁路162號,大湳淨水場,石門區,<1,<5,0.6,,,,,,,,,,,,94.8,0.5,7.4
43,是,106.03.14,桃園市,八德區,力行街220號,大湳淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,113,0.59,7.6
44,是,106.03.14,桃園市,八德區,介壽路一段844號,大湳淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,109,0.52,7.7
45,是,106.03.14,桃園市,八德區,和平路596號,大湳淨水場,石門區,<1,<5,1.1,,,,,,,,,,,,108,0.8,7.5
46,是,106.03.14,桃園市,八德區,陸光街27號,大湳淨水場,石門區,<1,<5,0.7,,,,,,,,,,,,112,0.57,7.6
47,是,106.03.14,桃園市,八德區,廣福路148號,大湳淨水場,石門區,<1,<5,0.5,,,,,,,,,,,,109,0.4,7.5
48,是,106.03.14,桃園市,大園區,中正東路776號,大湳淨水場,石門區,<1,<5,0.8,,,,,,,,,,,,110,0.6,7.6
49,是,106.03.14,桃園市,桃園區,上海路30號,大湳淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,110,0.57,7.4
50,是,106.03.14,桃園市,桃園區,中山路702號,大湳淨水場,石門區,<1,<5,0.4,,,,,,,,,,,,110,0.75,7.5
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
